~id,~from,~to,~label
308023292,70247685,102720-100,order
308023292,70247685,101122-100,order
308023295,70100467,5183-4757,order
308023295,70100467,2010090400,order
308023295,70100467,12282003,order
308023295,70100467,12198007,order
308023295,70100467,12105005,order
308023295,70100467,5190-3165,order
308023296,70251524,IR60461-2,order
308023296,70251524,IR06261-2,order
308023296,70251524,IR75261-2,order
308023296,70251524,IR08261-2,order
308023300,70256477,G2938-68000,order
308023300,70256477,5067-4626,order
308023300,70256477,G2938-85004,order
308023300,70256477,G2938-68706,order
308023300,70256477,G2938-90402,order
308023300,70256477,G2938-90322,order
308023302,70216820,G1033B,order
308023302,70216820,G1033-64001,order
308023302,70216820,19199M,order
308023302,70216820,5183-4757,order
308023302,70216820,5188-5365,order
308023302,70216820,G3391A,order
308023302,70216820,H1149H,order
308023302,70216820,H1142H,order
308023302,70216820,H1141H,order
308023302,70216820,5080-8853,order
308023302,70216820,5181-8830,order
308023302,70216820,5062-3508,order
308023302,70216820,5181-3323,order
308023302,70216820,CP9205,order
308023302,70216820,5188-2753,order
308023302,70216820,5188-2759,order
308023302,70216820,18740-80220,order
308023302,70216820,5040-4671,order
308023302,70216820,H5917A,order
308023302,70216820,G7005-60061,order
308023302,70216820,5181-3316,order
308023302,70216820,5183-4647,order
308023302,70216820,5040-4669,order
308023302,70216820,UP_FRONT_SERVICE_H,order
308023302,70216820,G1099-80039,order
308023302,70216820,G1680-63721,order
308023302,70216820,8121-0008,order
308023302,70216820,G4351-60585,order
308023302,70216820,G1680-64578,order
308023302,70216820,CP17974,order
308023302,70216820,G7003-60506,order
308023302,70216820,G7077-60502,order
308023302,70216820,G7076BW,order
308023302,70216820,G7077-60807,order
308023302,70216820,G3870-00015,order
308023302,70216820,G1701-64601,order
308023302,70216820,G7077-64131,order
308023302,70216820,5188-5347,order
308023302,70216820,5188-5348,order
308023302,70216820,G1680-63540,order
308023302,70216820,8120-8340,order
308023302,70216820,G1680-63ABA,order
308023302,70216820,G1701-64230,order
308023302,70216820,G1701-64600,order
308023302,70216820,G7077-64008,order
308023302,70216820,G3170-64001,order
308023302,70216820,8121-1809,order
308023302,70216820,G7381-68000,order
308023302,70216820,G3440-60013,order
308023302,70216820,G7366-68000,order
308023302,70216820,G7388-64000,order
308023302,70216820,G7367-64120,order
308023302,70216820,G7367A,order
308023302,70216820,H1149H,order
308023302,70216820,H1147H,order
308023302,70216820,H1142H,order
308023302,70216820,H1141H,order
308023302,70216820,UP_FRONT_SERVICE_H,order
308023302,70216820,G7371-60006,order
308023302,70216820,8121-1787,order
308023302,70216820,8121-1809,order
308023302,70216820,G4351-64002,order
308023302,70216820,G3870-80056,order
308023302,70216820,G4600-64400,order
308023302,70216820,G4600-64006,order
308023310,70256477,G2938-90037,order
308023310,70256477,5067-1511,order
308023310,70256477,G2938-90322,order
308023310,70256477,G2938-85004,order
308023310,70256477,G2938-68706,order
308023310,70256477,G2938-68000,order
308023310,70256477,5067-4626,order
308023310,70256477,G2938-90049,order
308023310,70256477,G2938-90402,order
308023310,70256477,G2938-90402,order
308023310,70256477,G2938-80039,order
308023310,70256477,G2938-68706,order
308023310,70256477,5067-1524,order
308023310,70256477,5065-9940,order
308023310,70256477,5065-9940,order
308023310,70256477,5067-1521,order
308023310,70256477,G2938-68706,order
308023310,70256477,G2938-80023,order
308023310,70256477,G2938-80038,order
308023310,70256477,G2938-90402,order
308023310,70256477,5067-1513,order
308023310,70256477,G2938-80024,order
308023330,70517749,AR17992-2,order
308023330,70517749,AR1799A-2,order
308023330,70517749,AR1799B-2,order
308023330,70517749,AR41030-7,order
308023330,70517749,AR1581C-2,order
308023330,70517749,AR41030-7,order
308023330,70517749,GV80511-2,order
308023330,70517749,AR15811-2,order
308023336,70485534,17311-001,order
308023336,70485534,G5536-60003,order
308023336,70485534,G5406-90001,order
308023336,70485534,09354-001,order
308023336,70485534,G5498-64100,order
308023336,70485534,16890-001,order
308023336,70485534,G5880-64009,order
308023336,70485534,G5412-60031,order
308023336,70485534,G5563-90002,order
308023336,70485534,8121-0008,order
308023336,70485534,G5500-90015,order
308023336,70485534,G5410-60037,order
308023336,70485534,G5409-20025,order
308023336,70485534,G5409-20047,order
308023336,70485534,G5496-60050,order
